order_id,product_id,product_name,category,quantity,price,total_price,sale_date
ORD20251102001,P015,Bananas 1kg,Fruits,1,1.5,1.5,2025-11-02
ORD20251102001,P001,Coca-Cola 330ml,Beverages,1,1.5,1.5,2025-11-02
ORD20251102002,P003,Lays Classic Chips,Snacks,2,2.0,4.0,2025-11-02
ORD20251102002,P015,Bananas 1kg,Fruits,2,1.5,3.0,2025-11-02
ORD20251102002,P011,Chocolate Bar,Snacks,3,1.8,5.4,2025-11-02
ORD20251102002,P013,Shampoo,Personal Care,2,5.5,11.0,2025-11-02
ORD20251102003,P006,Croissant,Bakery,3,1.8,5.4,2025-11-02
ORD20251102003,P005,Whole Wheat Bread,Bakery,1,3.5,3.5,2025-11-02
ORD20251102003,P005,Whole Wheat Bread,Bakery,1,3.5,3.5,2025-11-02
ORD20251102004,P010,Mineral Water 500ml,Beverages,1,1.0,1.0,2025-11-02
ORD20251102004,P006,Croissant,Bakery,1,1.8,1.8,2025-11-02
ORD20251102004,P008,Yogurt 500g,Dairy,1,3.0,3.0,2025-11-02
ORD20251102004,P015,Bananas 1kg,Fruits,2,1.5,3.0,2025-11-02
ORD20251102005,P011,Chocolate Bar,Snacks,1,1.8,1.8,2025-11-02
ORD20251102005,P010,Mineral Water 500ml,Beverages,2,1.0,2.0,2025-11-02
ORD20251102006,P003,Lays Classic Chips,Snacks,1,2.0,2.0,2025-11-02
ORD20251102007,P012,Toothpaste,Personal Care,3,3.2,9.600000000000001,2025-11-02
ORD20251102007,P015,Bananas 1kg,Fruits,2,1.5,3.0,2025-11-02
ORD20251102007,P012,Toothpaste,Personal Care,3,3.2,9.600000000000001,2025-11-02
ORD20251102007,P010,Mineral Water 500ml,Beverages,2,1.0,2.0,2025-11-02
ORD20251102008,P010,Mineral Water 500ml,Beverages,3,1.0,3.0,2025-11-02
ORD20251102009,P003,Lays Classic Chips,Snacks,1,2.0,2.0,2025-11-02
ORD20251102009,P005,Whole Wheat Bread,Bakery,2,3.5,7.0,2025-11-02
ORD20251102009,P009,Eggs 12pcs,Dairy,1,4.0,4.0,2025-11-02
ORD20251102009,P013,Shampoo,Personal Care,2,5.5,11.0,2025-11-02
ORD20251102010,P009,Eggs 12pcs,Dairy,1,4.0,4.0,2025-11-02
ORD20251102010,P004,Doritos Nacho Cheese,Snacks,2,2.2,4.4,2025-11-02
ORD20251102011,P003,Lays Classic Chips,Snacks,1,2.0,2.0,2025-11-02
ORD20251102011,P015,Bananas 1kg,Fruits,2,1.5,3.0,2025-11-02
ORD20251102011,P015,Bananas 1kg,Fruits,3,1.5,4.5,2025-11-02
ORD20251102012,P009,Eggs 12pcs,Dairy,1,4.0,4.0,2025-11-02
ORD20251102012,P012,Toothpaste,Personal Care,1,3.2,3.2,2025-11-02
ORD20251102012,P013,Shampoo,Personal Care,2,5.5,11.0,2025-11-02
ORD20251102012,P002,Pepsi 330ml,Beverages,2,1.45,2.9,2025-11-02
ORD20251102013,P001,Coca-Cola 330ml,Beverages,2,1.5,3.0,2025-11-02
ORD20251102014,P011,Chocolate Bar,Snacks,2,1.8,3.6,2025-11-02
ORD20251102014,P009,Eggs 12pcs,Dairy,3,4.0,12.0,2025-11-02
ORD20251102015,P015,Bananas 1kg,Fruits,1,1.5,1.5,2025-11-02
ORD20251102015,P002,Pepsi 330ml,Beverages,2,1.45,2.9,2025-11-02
ORD20251102015,P014,Apples 1kg,Fruits,2,2.8,5.6,2025-11-02
ORD20251102016,P015,Bananas 1kg,Fruits,1,1.5,1.5,2025-11-02
ORD20251102017,P003,Lays Classic Chips,Snacks,3,2.0,6.0,2025-11-02
